clip filename,long-form video,beat,hook line,language,YT date,FB date,TikTok date,related-link set?,YT views,avg % viewed,notes
silenced-s1-tah-miss-EN.mp4,Silenced (Paraguay vs Germany),peak,"Germany hadn't lost a World Cup shootout in 50 years... until this.",EN,,,,,,,
silenced-s2-disallowed-goal-EN.mp4,Silenced (Paraguay vs Germany),reversal,"One push changed everything about this match.",EN,,,,,,,
silenced-s3-lineage-EN.mp4,Silenced (Paraguay vs Germany),meaning,"Paraguay has been producing goalkeepers like this for 30 years. Here's why.",EN,,,,,,,
same-coin-s1-double-save-EN.mp4,The Same Coin (Paraguay vs France),peak,"Mbappe needed one more goal. This goalkeeper said no — twice in three seconds.",EN,,,,,,,
same-coin-s2-var-penalty-EN.mp4,The Same Coin (Paraguay vs France),reversal,"The referee said no penalty. VAR made him watch it again — and everything changed.",EN,,,,,,,
same-coin-s3-the-coin-EN.mp4,The Same Coin (Paraguay vs France),meaning,"A penalty made him a national hero. The next one took it all back.",EN,,,,,,,
son-also-saves-s1-messi-save-EN.mp4,The Son Also Saves (Egypt vs Argentina),peak,"Messi stepped up to the spot. The son of Egypt's greatest keeper was waiting.",EN,,,,,,,
son-also-saves-s2-collapse-EN.mp4,The Son Also Saves (Egypt vs Argentina),reversal,"Argentina had NEVER come back from 2-0 down. 13 tries. Zero. Egypt led 2-0 with 11 minutes left.",EN,,,,,,,
son-also-saves-s3-father-son-EN.mp4,The Son Also Saves (Egypt vs Argentina),meaning,"His father made the world notice Egypt in 1990. 36 years later his son faced Messi.",EN,,,,,,,
one-match-short-s1-crossbar-EN.mp4,One Match Short (Colombia vs Switzerland),peak,"Switzerland missed. The door was wide open. Then Colombia hit the crossbar.",EN,,,,,,,
one-match-short-s2-better-team-EN.mp4,One Match Short (Colombia vs Switzerland),reversal,"Better chances. Better shots. Better everything. Zero goals. Here's how that happens.",EN,,,,,,,
one-match-short-s3-the-ceiling-EN.mp4,One Match Short (Colombia vs Switzerland),meaning,"2018: out on penalties. 2026: out on penalties. Same round. This is Colombia's curse.",EN,,,,,,,
fifth-match-s1-98-seconds-EN.mp4,The Fifth Match (Mexico vs England),peak,"80,000 fans went silent in 98 seconds. Two goals did it.",EN,,,,,,,
fifth-match-s2-red-card-EN.mp4,The Fifth Match (Mexico vs England),reversal,"England went down to 10 men in Mexico's fortress. Then ENGLAND scored.",EN,,,,,,,
fifth-match-s3-fortress-falls-EN.mp4,The Fifth Match (Mexico vs England),meaning,"This stadium had never lost a World Cup match. Ever. Then a storm rolled in.",EN,,,,,,,
